Agency,Uploaded On,Saved
USAID,3/1/2025,18118599
USAID,3/1/2025,17916737
USAID,3/1/2025,17900000
USAID,3/1/2025,17713040
USAID,3/1/2025,17687997
USAID,3/1/2025,17380500
USAID,2/11/2025,17318616
USAID,3/1/2025,17277158
USAID,3/1/2025,17012317
USAID,3/1/2025,17000000
USAID,2/6/2025,16958088
USAID,3/1/2025,16900000
USAID,3/1/2025,16845429
USAID,3/1/2025,16824166
USAID,3/1/2025,16612635
USAID,3/1/2025,16449770
USAID,3/1/2025,16429427
USAID,3/1/2025,16355164
USAID,3/1/2025,16052992
USAID,3/1/2025,15998842
USAID,3/1/2025,15801190
USAID,3/1/2025,15000000
USAID,3/1/2025,14918750
USAID,3/1/2025,14797623
USAID,3/1/2025,14754036
USAID,3/1/2025,14753868
USAID,3/1/2025,14736428
USAID,2/11/2025,14285056
USAID,2/12/2025,14258389
USAID,2/11/2025,14126192
USAID,3/1/2025,14088573
USAID,2/10/2025,13964718
USAID,3/1/2025,13964718
USAID,3/1/2025,13835242
USAID,3/1/2025,13806327
USAID,3/1/2025,13449525
USAID,2/11/2025,13381696
USAID,2/11/2025,13265300
USAID,3/1/2025,13155456
USAID,3/1/2025,13050517
USAID,3/1/2025,13043014
USAID,3/1/2025,12993908
USAID,2/11/2025,12718000
USAID,3/1/2025,12558631
USAID,3/1/2025,12500000
USAID,3/1/2025,12331488
USAID,3/1/2025,12270389
USAID,3/1/2025,11615257
USAID,2/11/2025,11482622
USAID,3/1/2025,11316470
USAID,3/1/2025,11278081
USAID,3/1/2025,11062817
USAID,3/1/2025,10977456
USAID,2/6/2025,10536573
USAID,3/1/2025,10502044
USAID,3/1/2025,10396217
USAID,3/1/2025,10266391
USAID,3/1/2025,10144545
USAID,3/1/2025,10143856
USAID,3/1/2025,10000770
USAID,3/1/2025,10000000
USAID,2/10/2025,9891193
USAID,3/1/2025,9891193
USAID,3/1/2025,9869721
USAID,2/10/2025,9800000
DEPARTMENT OF STATE,2/26/2025,9693005
DEPARTMENT OF STATE,2/26/2025,9682772
DEPARTMENT OF EDUCATION,2/18/2025,9624816
DEPARTMENT OF EDUCATION,2/12/2025,9498198
USAID,3/1/2025,9496405
USAID,3/1/2025,9479738
USAID,3/1/2025,9292012
USAID,3/1/2025,9273274
DEPARTMENT OF EDUCATION,2/12/2025,9258547
USAID,3/1/2025,9030427
USAID,3/1/2025,9000000
DEPARTMENT OF EDUCATION,2/18/2025,8807553
USAID,2/11/2025,8708753
DEPARTMENT OF EDUCATION,2/7/2025,8463038
DEPARTMENT OF EDUCATION,2/12/2025,8435332
DEPARTMENT OF EDUCATION,2/12/2025,8397522
DEPARTMENT OF EDUCATION,2/12/2025,8375173
DEPARTMENT OF STATE,2/26/2025,8351733
DEPARTMENT OF EDUCATION,2/12/2025,8311632
USAID,3/1/2025,8154986
DEPARTMENT OF EDUCATION,2/12/2025,8143074
DEPARTMENT OF STATE,2/26/2025,8139420
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,8000000
DEPARTMENT OF STATE,2/26/2025,8000000
USAID,3/1/2025,8000000
USAID,3/1/2025,7999622
DEPARTMENT OF EDUCATION,2/12/2025,7988347
DEPARTMENT OF STATE,2/26/2025,7980265
DEPARTMENT OF EDUCATION,2/12/2025,7949724
USAID,3/1/2025,7911546
DEPARTMENT OF STATE,2/26/2025,7863328
USAID,1/25/2025,7849533
USAID,3/1/2025,7849533
USAID,2/13/2025,7801634
USAID,3/1/2025,7801634
USAID,3/1/2025,7801634
USAID,3/1/2025,7755011
USAID,3/1/2025,7720417
DEPARTMENT OF EDUCATION,2/18/2025,7682558
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,7645589
USAID,3/1/2025,7632565
USAID,3/1/2025,7608424
DEPARTMENT OF EDUCATION,2/12/2025,7584035
DEPARTMENT OF STATE,2/26/2025,7575755
USAID,3/1/2025,7558805
DEPARTMENT OF EDUCATION,2/12/2025,7466041
USAID,2/12/2025,7401197
DEPARTMENT OF STATE,2/26/2025,7293296
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,7160607
USAID,3/1/2025,7152084
USAID,3/1/2025,7097182
USAID,3/1/2025,7062500
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,7008434
USAID,3/1/2025,6998757
DEPARTMENT OF STATE,2/26/2025,6948081
DEPARTMENT OF STATE,2/26/2025,6822507
DEPARTMENT OF STATE,2/26/2025,6800000
USAID,3/1/2025,6750000
USAID,3/1/2025,6730118
DEPARTMENT OF EDUCATION,2/7/2025,6682514
USAID,3/1/2025,6677905
USAID,2/11/2025,6671996
USAID,3/1/2025,6661214
USAID,2/10/2025,6654571
USAID,3/1/2025,6654571
USAID,3/1/2025,6592150
DEPARTMENT OF EDUCATION,2/12/2025,6532804
USAID,3/1/2025,6460008
USAID,3/1/2025,6425000
DEPARTMENT OF EDUCATION,2/12/2025,6423747
USAID,3/1/2025,6350000
USAID,2/11/2025,6325000
USAID,3/1/2025,6196101
DEPARTMENT OF EDUCATION,2/18/2025,6170903
DEPARTMENT OF EDUCATION,2/18/2025,6064479
USAID,3/1/2025,6035000
DEPARTMENT OF EDUCATION,2/18/2025,6029332
DEPARTMENT OF EDUCATION,2/18/2025,6018538
USAID,3/1/2025,6000000
USAID,3/1/2025,5999808
DEPARTMENT OF STATE,2/26/2025,5997748
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,5993226
USAID,3/1/2025,5992735
USAID,3/1/2025,5987293
USAID,3/1/2025,5970133
USAID,3/1/2025,5958129
USAID,3/1/2025,5933629
USAID,3/1/2025,5898127
DEPARTMENT OF STATE,2/26/2025,5836318
USAID,3/1/2025,5780419
USAID,3/1/2025,5750000
DEPARTMENT OF EDUCATION,2/18/2025,5749999
DEPARTMENT OF EDUCATION,2/18/2025,5693987
DEPARTMENT OF STATE,2/26/2025,5690897
DEPARTMENT OF EDUCATION,2/12/2025,5683246
USAID,3/1/2025,5681598
USAID,3/1/2025,5650000
USAID,3/1/2025,5639992
USAID,3/1/2025,5609680
USAID,2/12/2025,5600000
DEPARTMENT OF EDUCATION,2/18/2025,5571247
USAID,3/1/2025,5549400
USAID,3/1/2025,5537500
USAID,3/1/2025,5521411
DEPARTMENT OF EDUCATION,2/12/2025,5463935
USAID,3/1/2025,5460911
USAID,3/1/2025,5457850
USAID,3/1/2025,5449948
USAID,3/1/2025,5445744
USAID,3/1/2025,5445744
USAID,3/1/2025,5445744
USAID,3/1/2025,5445744
USAID,3/1/2025,5445744
USAID,3/1/2025,5445744
USAID,3/1/2025,5437498
USAID,3/1/2025,5400000
USAID,3/1/2025,5394971
DEPARTMENT OF STATE,2/26/2025,5380391
DEPARTMENT OF STATE,2/26/2025,5376418
USAID,3/1/2025,5355846
DEPARTMENT OF EDUCATION,2/12/2025,5304520
DEPARTMENT OF STATE,2/26/2025,5285747
USAID,3/1/2025,5273688
DEPARTMENT OF STATE,2/26/2025,5272035
USAID,3/1/2025,5266240
DEPARTMENT OF STATE,2/26/2025,5251766
USAID,3/1/2025,5250000
DEPARTMENT OF STATE,2/26/2025,5240035
DEPARTMENT OF EDUCATION,2/18/2025,5213043
USAID,3/1/2025,5211340
USAID,3/1/2025,5172120
DEPARTMENT OF EDUCATION,2/12/2025,5149024
USAID,3/1/2025,5129608
USAID,3/1/2025,5106140
USAID,3/1/2025,5066341
USAID,3/1/2025,5049508
DEPARTMENT OF STATE,2/26/2025,5000000
USAID,3/1/2025,5000000
USAID,3/1/2025,4998451
USAID,3/1/2025,4994958
DEPARTMENT OF EDUCATION,2/13/2025,4990683
DEPARTMENT OF STATE,2/26/2025,4987388
DEPARTMENT OF STATE,2/26/2025,4979989
USAID,3/1/2025,4970000
USAID,3/1/2025,4966948
USAID,3/1/2025,4900000
USAID,3/1/2025,4882460
USAID,3/1/2025,4874491
DEPARTMENT OF EDUCATION,2/10/2025,4849832
DEPARTMENT OF EDUCATION,2/7/2025,4839262
USAID,3/1/2025,4778635
DEPARTMENT OF EDUCATION,2/13/2025,4757441
DEPARTMENT OF STATE,2/26/2025,4754103
USAID,3/1/2025,4753720
DEPARTMENT OF STATE,2/26/2025,4741744
DEPARTMENT OF STATE,2/26/2025,4724000
USAID,3/1/2025,4713517
USAID,2/12/2025,4700000
USAID,3/1/2025,4697165
DEPARTMENT OF EDUCATION,2/12/2025,4676106
USAID,3/1/2025,4670000
DEPARTMENT OF STATE,2/26/2025,4656710
USAID,3/1/2025,4648901
DEPARTMENT OF STATE,2/26/2025,4642286
DEPARTMENT OF EDUCATION,2/12/2025,4628094
USAID,3/1/2025,4625247
USAID,3/1/2025,4608579
USAID,3/1/2025,4600000
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,4550417
USAID,2/10/2025,4500000
DEPARTMENT OF STATE,2/26/2025,4500000
USAID,3/1/2025,4500000
DEPARTMENT OF EDUCATION,2/13/2025,4499086
DEPARTMENT OF STATE,2/26/2025,4491141
DEPARTMENT OF EDUCATION,2/13/2025,4486087
USAID,3/1/2025,4485000
USAID,2/11/2025,4476621
DEPARTMENT OF EDUCATION,2/12/2025,4467457
DEPARTMENT OF EDUCATION,2/18/2025,4458467
USAID,3/1/2025,4451281
USAID,3/1/2025,4440950
DEPARTMENT OF EDUCATION,2/12/2025,4429453
USAID,3/1/2025,4422566
DEPARTMENT OF STATE,2/26/2025,4401773
DEPARTMENT OF STATE,2/26/2025,4400844
USAID,3/1/2025,4353382
DEPARTMENT OF EDUCATION,2/18/2025,4332037
USAID,3/1/2025,4324444
DEPARTMENT OF EDUCATION,2/18/2025,4310454
DEPARTMENT OF EDUCATION,2/18/2025,4310163
USAID,3/1/2025,4303574
DEPARTMENT OF EDUCATION,2/12/2025,4302660
USAID,3/1/2025,4300000
USAID,3/1/2025,4263826
DEPARTMENT OF EDUCATION,2/12/2025,4232346
USAID,3/1/2025,4198694
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,4191942
USAID,3/1/2025,4182128
USAID,3/1/2025,4162553
DEPARTMENT OF STATE,2/26/2025,4153308
USAID,3/1/2025,4140252
DEPARTMENT OF STATE,2/26/2025,4137992
DEPARTMENT OF EDUCATION,2/18/2025,4135760
USAID,3/1/2025,4108839
USAID,3/1/2025,4100000
DEPARTMENT OF STATE,2/26/2025,4081986
USAID,3/1/2025,4079221
USAID,3/1/2025,4072938
DEPARTMENT OF STATE,2/26/2025,4029267
USAID,3/1/2025,4010194
DEPARTMENT OF EDUCATION,2/12/2025,4009293
DEPARTMENT OF STATE,2/26/2025,4000000
USAID,3/1/2025,4000000
USAID,3/1/2025,4000000
USAID,3/1/2025,4000000
USAID,3/1/2025,4000000
USAID,3/1/2025,4000000
USAID,3/1/2025,3999794
USAID,3/1/2025,3995624
DEPARTMENT OF STATE,2/26/2025,3948798
DEPARTMENT OF STATE,2/27/2025,3946720
USAID,3/1/2025,3943882
USAID,3/1/2025,3935620
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,3930077
DEPARTMENT OF EDUCATION,2/12/2025,3926878
DEPARTMENT OF EDUCATION,2/12/2025,3909707
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,3908168
USAID,3/1/2025,3906762
DEPARTMENT OF STATE,2/26/2025,3905500
USAID,3/1/2025,3901018
DEPARTMENT OF EDUCATION,2/18/2025,3900455
DEPARTMENT OF STATE,2/26/2025,3896012
DEPARTMENT OF STATE,2/26/2025,3861171
USAID,3/1/2025,3840305
DEPARTMENT OF STATE,2/26/2025,3837932
USAID,3/1/2025,3812652
USAID,3/1/2025,3783603
DEPARTMENT OF STATE,2/26/2025,3781852
USAID,3/1/2025,3772373
DEPARTMENT OF STATE,2/26/2025,3759411
USAID,2/11/2025,3750000
USAID,3/1/2025,3725000
ENVIRONMENTAL PROTECTION AGENCY,2/22/2025,3721824
USAID,3/1/2025,3709477
USAID,3/1/2025,3704997
USAID,3/1/2025,3700000
DEPARTMENT OF STATE,2/26/2025,3694099
USAID,2/11/2025,3679482
USAID,3/1/2025,3676200
DEPARTMENT OF EDUCATION,2/12/2025,3654076
DEPARTMENT OF STATE,2/26/2025,3633392
DEPARTMENT OF STATE,2/26/2025,3633245
DEPARTMENT OF STATE,2/26/2025,3633121
USAID,3/1/2025,3628620
DEPARTMENT OF STATE,2/26/2025,3625000
USAID,3/1/2025,3604484
USAID,3/1/2025,3600000
USAID,3/1/2025,3600000
USAID,2/11/2025,3593263
USAID,3/1/2025,3589516
DEPARTMENT OF STATE,2/26/2025,3572066
USAID,3/1/2025,3531793
DEPARTMENT OF EDUCATION,2/12/2025,3523274
DEPARTMENT OF EDUCATION,2/12/2025,3514040
DEPARTMENT OF STATE,2/26/2025,3500000
USAID,3/1/2025,3500000
USAID,3/1/2025,3500000
USAID,3/1/2025,3496382
USAID,2/6/2025,3494361
USAID,3/1/2025,3494361
DEPARTMENT OF STATE,2/26/2025,3494005
DEPARTMENT OF STATE,2/26/2025,3477681
USAID,3/1/2025,3473211
DEPARTMENT OF EDUCATION,2/12/2025,3463855
DEPARTMENT OF STATE,2/26/2025,3455110
USAID,3/1/2025,3400000
DEPARTMENT OF EDUCATION,2/10/2025,3392625
DEPARTMENT OF EDUCATION,2/12/2025,3380649
USAID,3/1/2025,3368386
USAID,3/1/2025,3358276
USAID,3/1/2025,3345000
USAID,3/1/2025,3341710
DEPARTMENT OF STATE,2/26/2025,3338485
DEPARTMENT OF STATE,2/26/2025,3335548
DEPARTMENT OF STATE,2/26/2025,3319371
USAID,3/1/2025,3301114
USAID,3/1/2025,3300000
DEPARTMENT OF STATE,2/26/2025,3276871
DEPARTMENT OF EDUCATION,2/12/2025,3250323
USAID,3/1/2025,3250000
USAID,3/1/2025,3240932
DEPARTMENT OF STATE,2/26/2025,3239647
USAID,3/1/2025,3238144
USAID,3/1/2025,3229048
DEPARTMENT OF STATE,2/26/2025,3229047
USAID,3/1/2025,3215007
DEPARTMENT OF EDUCATION,2/18/2025,3210977
DEPARTMENT OF EDUCATION,2/12/2025,3182523
USAID,3/1/2025,3181624
DEPARTMENT OF EDUCATION,2/12/2025,3176157
DEPARTMENT OF STATE,2/26/2025,3173666
DEPARTMENT OF STATE,2/26/2025,3173149
DEPARTMENT OF EDUCATION,2/12/2025,3132045
USAID,2/11/2025,3119974
USAID,3/1/2025,3110486
DEPARTMENT OF EDUCATION,2/12/2025,3092663
USAID,3/1/2025,3072040
DEPARTMENT OF EDUCATION,2/10/2025,3070266
DEPARTMENT OF EDUCATION,2/12/2025,3067134
USAID,3/1/2025,3063088
DEPARTMENT OF STATE,2/26/2025,3050000
USAID,3/1/2025,3050000
DEPARTMENT OF EDUCATION,2/12/2025,3044114
DEPARTMENT OF EDUCATION,2/10/2025,3034825
DEPARTMENT OF EDUCATION,2/10/2025,3028529
USAID,3/1/2025,3010272
DEPARTMENT OF EDUCATION,2/10/2025,3009928
DEPARTMENT OF STATE,2/26/2025,3000000
DEPARTMENT OF STATE,2/26/2025,3000000
DEPARTMENT OF STATE,2/26/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,3000000
USAID,3/1/2025,2999992
USAID,3/1/2025,2987355
DEPARTMENT OF STATE,2/26/2025,2978256
DEPARTMENT OF STATE,2/26/2025,2974314
USAID,3/1/2025,2964300
DEPARTMENT OF STATE,2/26/2025,2959500
USAID,3/1/2025,2954860
DEPARTMENT OF EDUCATION,2/10/2025,2953043
DEPARTMENT OF EDUCATION,2/12/2025,2948648
DEPARTMENT OF STATE,2/26/2025,2932498
DEPARTMENT OF STATE,2/26/2025,2919988
USAID,3/1/2025,2898000
DEPARTMENT OF STATE,2/26/2025,2893070
DEPARTMENT OF STATE,2/26/2025,2892196
DEPARTMENT OF EDUCATION,2/12/2025,2890537
DEPARTMENT OF STATE,2/26/2025,2880785
DEPARTMENT OF STATE,2/26/2025,2841822
DEPARTMENT OF STATE,2/26/2025,2837660
USAID,3/1/2025,2820000
DEPARTMENT OF EDUCATION,2/10/2025,2819686
DEPARTMENT OF STATE,2/26/2025,2810407
DEPARTMENT OF STATE,2/26/2025,2797545
DEPARTMENT OF EDUCATION,2/18/2025,2778152
DEPARTMENT OF STATE,2/26/2025,2750009
DEPARTMENT OF STATE,2/26/2025,2750000
USAID,3/1/2025,2750000
DEPARTMENT OF STATE,2/26/2025,2725593
DEPARTMENT OF STATE,2/26/2025,2708448
USAID,3/1/2025,2700000
DEPARTMENT OF STATE,2/26/2025,2697202
DEPARTMENT OF EDUCATION,2/10/2025,2664277
USAID,3/1/2025,2650000
DEPARTMENT OF STATE,2/26/2025,2643819
USAID,3/1/2025,2640000
USAID,3/1/2025,2638953
USAID,3/1/2025,2637633
USAID,2/6/2025,2636631
USAID,3/1/2025,2636631
DEPARTMENT OF STATE,2/26/2025,2621539
DEPARTMENT OF STATE,2/26/2025,2610000
USAID,3/1/2025,2600196
DEPARTMENT OF STATE,2/26/2025,2600000
DEPARTMENT OF STATE,2/26/2025,2589580
DEPARTMENT OF STATE,2/26/2025,2580793
DEPARTMENT OF STATE,2/26/2025,2574778
USAID,3/1/2025,2572861
USAID,3/1/2025,2570217
USAID,3/1/2025,2566329
USAID,3/1/2025,2559570
USAID,3/1/2025,2558172
DEPARTMENT OF STATE,2/26/2025,2550633
USAID,3/1/2025,2520000
DEPARTMENT OF STATE,2/26/2025,2513390
USAID,1/30/2025,2500381
USAID,2/11/2025,2500000
USAID,3/1/2025,2500000
DEPARTMENT OF STATE,2/26/2025,2478412
USAID,3/1/2025,2468433
DEPARTMENT OF STATE,2/26/2025,2451235
USAID,3/1/2025,2443850
DEPARTMENT OF EDUCATION,2/12/2025,2424805
USAID,3/1/2025,2422117
DEPARTMENT OF EDUCATION,2/10/2025,2411784
USAID,3/1/2025,2399550
USAID,3/1/2025,2399220
DEPARTMENT OF STATE,2/26/2025,2389645
DEPARTMENT OF STATE,2/26/2025,2375194
DEPARTMENT OF STATE,2/26/2025,2374237
DEPARTMENT OF EDUCATION,2/12/2025,2373229
DEPARTMENT OF STATE,2/26/2025,2372134
DEPARTMENT OF STATE,2/26/2025,2370417
USAID,3/1/2025,2363987
USAID,3/1/2025,2360303
DEPARTMENT OF STATE,2/26/2025,2355704
DEPARTMENT OF STATE,2/26/2025,2352035
USAID,3/1/2025,2350000
USAID,3/1/2025,2350000
USAID,3/1/2025,2348650
USAID,3/1/2025,2345577
DEPARTMENT OF STATE,2/26/2025,2341471
USAID,3/1/2025,2300000
USAID,3/1/2025,2300000
DEPARTMENT OF STATE,2/26/2025,2271061
USAID,3/1/2025,2261359
USAID,3/1/2025,2259935
DEPARTMENT OF STATE,2/26/2025,2257468
DEPARTMENT OF STATE,2/26/2025,2256600
DEPARTMENT OF STATE,2/26/2025,2254251
DEPARTMENT OF STATE,2/26/2025,2250247
DEPARTMENT OF STATE,2/26/2025,2250000
USAID,3/1/2025,2250000
DEPARTMENT OF EDUCATION,2/18/2025,2239430
USAID,2/12/2025,2238581
USAID,3/1/2025,2236971
USAID,3/1/2025,2231336
DEPARTMENT OF EDUCATION,2/12/2025,2224841
USAID,3/1/2025,2210000
USAID,3/1/2025,2202359
DEPARTMENT OF STATE,2/26/2025,2200100
USAID,3/1/2025,2199999
DEPARTMENT OF STATE,2/26/2025,2194611
USAID,3/1/2025,2189516
DEPARTMENT OF STATE,2/26/2025,2175240
USAID,3/1/2025,2172465
USAID,3/1/2025,2166667
USAID,3/1/2025,2166666
USAID,3/1/2025,2159666
DEPARTMENT OF STATE,2/26/2025,2142277
DEPARTMENT OF STATE,2/26/2025,2141000
DEPARTMENT OF EDUCATION,2/10/2025,2140529
USAID,2/12/0205,2127142
USAID,3/1/2025,2122583
DEPARTMENT OF STATE,2/26/2025,2120353
DEPARTMENT OF STATE,2/26/2025,2117552
USAID,3/1/2025,2113217
DEPARTMENT OF STATE,2/26/2025,2109906
DEPARTMENT OF STATE,2/26/2025,2109439
DEPARTMENT OF STATE,2/26/2025,2105090
USAID,3/1/2025,2100000
DEPARTMENT OF STATE,2/26/2025,2099998
DEPARTMENT OF STATE,2/26/2025,2098196
DEPARTMENT OF STATE,2/26/2025,2094252
DEPARTMENT OF EDUCATION,2/10/2025,2077527
DEPARTMENT OF STATE,2/26/2025,2077370
USAID,3/1/2025,2066153
DEPARTMENT OF STATE,2/26/2025,2055438
USAID,3/1/2025,2052376
USAID,3/1/2025,2049999
USAID,3/1/2025,2035009
DEPARTMENT OF STATE,2/26/2025,2019542
USAID,3/1/2025,2015000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
USAID,3/1/2025,2000000
DEPARTMENT OF STATE,2/26/2025,1999883
USAID,3/1/2025,1999074
DEPARTMENT OF STATE,2/26/2025,1982668
DEPARTMENT OF EDUCATION,2/10/2025,1979270
USAID,3/1/2025,1972551
USAID,3/1/2025,1946770
DEPARTMENT OF STATE,2/26/2025,1945673
DEPARTMENT OF STATE,2/26/2025,1938226
DEPARTMENT OF STATE,2/26/2025,1933816
USAID,3/1/2025,1932209
USAID,3/1/2025,1907231
USAID,3/1/2025,1901000
USAID,3/1/2025,1898480
DEPARTMENT OF STATE,2/26/2025,1894289
DEPARTMENT OF STATE,2/26/2025,1891707
DEPARTMENT OF EDUCATION,2/12/2025,1888858
DEPARTMENT OF STATE,2/26/2025,1885838
USAID,3/1/2025,1885000
USAID,3/1/2025,1876434
DEPARTMENT OF STATE,2/26/2025,1867421
USAID,3/1/2025,1862646
DEPARTMENT OF STATE,2/26/2025,1861510
DEPARTMENT OF STATE,2/26/2025,1857595
DEPARTMENT OF STATE,2/26/2025,1854216
USAID,2/11/2025,1851008
DEPARTMENT OF STATE,2/26/2025,1843479
USAID,3/1/2025,1827240
USAID,2/10/2025,1827174
USAID,3/1/2025,1823476
DEPARTMENT OF STATE,2/26/2025,1821384
USAID,3/1/2025,1800000
USAID,3/1/2025,1800000
USAID,3/1/2025,1800000
USAID,3/1/2025,1800000
DEPARTMENT OF EDUCATION,2/12/2025,1774769
USAID,3/1/2025,1765305
DEPARTMENT OF STATE,2/26/2025,1754758
USAID,3/1/2025,1753294
USAID,3/1/2025,1741586
DEPARTMENT OF STATE,2/26/2025,1739621
USAID,3/1/2025,1732398
USAID,3/1/2025,1730000
USAID,3/1/2025,1709736
DEPARTMENT OF STATE,2/26/2025,1673251
DEPARTMENT OF STATE,2/26/2025,1672694
DEPARTMENT OF STATE,2/26/2025,1664504
DEPARTMENT OF STATE,2/26/2025,1660408
USAID,3/1/2025,1650000
USAID,3/1/2025,1648000
DEPARTMENT OF EDUCATION,2/10/2025,1634442
USAID,3/1/2025,1626772
USAID,3/1/2025,1626070
USAID,3/1/2025,1618491
USAID,3/1/2025,1612164
DEPARTMENT OF STATE,2/26/2025,1607911
USAID,3/1/2025,1584383
USAID,3/1/2025,1582426
DEPARTMENT OF STATE,2/26/2025,1568365
DEPARTMENT OF STATE,2/26/2025,1565289
USAID,3/1/2025,1551700
USAID,3/1/2025,1550000
DEPARTMENT OF STATE,2/26/2025,1546814
DEPARTMENT OF STATE,2/26/2025,1535284
USAID,3/1/2025,1531114
DEPARTMENT OF EDUCATION,2/12/2025,1522887
DEPARTMENT OF STATE,2/26/2025,1509218
DEPARTMENT OF STATE,2/26/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
USAID,3/1/2025,1500000
DEPARTMENT OF STATE,2/26/2025,1487393
USAID,3/1/2025,1485926
