Main Agency,Location,Sq Ft,Saved
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"AKRON, OH","3,201",242020
FAS- OFFICE SPAC,"O’FALLON, IL, FAS SERVICE CENTER","4,599",239250
GEOLOGICAL SURVEY,"SANTA MARIA, CA","6,440",237027
OFFICE OF INSPECTOR GENERAL,"VENTNOR CITY, NJ","1,018",235411
NATIONAL PARK SERVICE,"SALT LAKE CITY, UT","3,008",229550
NATIONAL LABOR RELATIONS BOARD,"BIRMINGHAM, AL","3,853",227725
AGRICULTURAL MARKETING SERVICE,"IDAHO FALLS, ID","1,920",223657
FEDERAL MEDIATION AND CONCILIATION SERVICE,"BUFFALO, NY","2,178",221760
MULTIPLE,"PHOENIX, AZ","2,193",221199
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"PALMDALE, CA","1,715",219076
FARM SERVICE AGENCY - COUNTY,"PARAGOULD, AR","4,900",210172
DHS UNITED STATES SECRET SERVICE,"WASHINGTON, DC",0,210000
SAVANNAH RIVER OPERATIONS OFFICE,"AIKEN, SC","2,250",200568
DHS UNITED STATES SECRET SERVICE,"PHILADELPHIA, PA","1,000",196740
DEPARTMENT OF EDUCATION,"WASHINGTON, DC","5,255",196366
SOCIAL SECURITY ADMINISTRATION,"JONESBORO, AR","2,340",194995
PBS,"MIDDLEBURG HEIGHTS, OH","5,421",193136
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"ROCK ISLAND, IL","10,895",192352
GEOLOGICAL SURVEY,"SAN ANGELO, TX","7,510",192214
INDIAN HEALTH SERVICE -OKLAHOMA,"OKLAHOMA CITY, OK","5,000",189922
BUREAU OF INDIAN AFFAIRS,"SEMINOLE, OK","9,825",184770
INDIAN HEALTH SERVICE-BEMIDJI,"BEMIDJI, MN","4,896",178554
DHS UNITED STATES SECRET SERVICE,"LOS ANGELES, CA","1,200",176700
FEDERAL BUREAU OF INVESTIGATION,"ST. JOSEPH, MO","1,449",171260
UNITED STATES TRUSTEES,"DAYTON, OH","2,257",167870
PUBLIC BUILDINGS SERVICE-FIELD OFFICE,"SPRINGFIELD, IL","3,860",164698
SOCIAL SECURITY ADMINISTRATION,"WHITE PLAINS, NY","16,632",162689
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","SAN ANTONIO, TX","5,036",161294
NATURAL RESOURCES CONSERVATION SERVICE,"RATON, NM","2,166",161060
NATURAL RESOURCES CONSERVATION SERVICE,"ST. JOHNSBURY, VT","5,712",160092
BUREAU OF INDIAN AFFAIRS,"PAWNEE, OK","7,549",156171
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"OKLAHOMA CITY, OK","6,401",155873
NATIONAL PARK SERVICE,"LOWELL, MA","3,900",149509
SMALL BUSINESS ADMINISTRATION,"LEBANON, NH",959,145490
OFFICE OF LABOR MANAGEMENT STANDARDS,"CINCINNATI, OH","4,449",145145
SOCIAL SECURITY ADMINISTRATION,"BATESVILLE, AR","1,934",145050
SOCIAL SECURITY ADMINISTRATION,"GREENWOOD, SC","8,727",141668
FEDERAL MEDIATION AND CONCILIATION SERVICE,"COLLIERVILLE, TN","2,190",137149
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"HOUSTON, TX","2,520",132687
SOCIAL SECURITY ADMINISTRATION,"GREEN BAY, WI",976,131145
SOCIAL SECURITY ADMINISTRATION,"GRENADA, MS","8,946",127570
OFFICE OF U.S. ATTORNEYS,"SIOUX CITY, IA","14,366",126664
NATURAL RESOURCES CONSERVATION SERVICE,"YREKA, CA","6,242",126132
SOCIAL SECURITY ADMINISTRATION,"ROANOKE RAPIDS, NC",982,120000
OFFICE OF U.S. ATTORNEYS,"LUFKIN, TX","5,449",118609
BUREAU OF INDIAN AFFAIRS,"FREDONIA, AZ","1,500",114300
NATURAL RESOURCES CONSERVATION SERVICE,"BATESVILLE, AR","1,470",110250
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"KNOXVILLE, TN","3,703",109816
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BEAUMONT, TX","4,819",105487
OFFICE OF ADMINISTRATIVE LAW JUDGES,"NEW LONDON, CT","1,303",104330
DHS-CBP FIELD OPERATIONS FACILITIES,"CHATTANOOGA, TN","1,023",99690
AGRICULTURAL MARKETING SERVICE,"JESSUP, MD","1,160",91443
MULTIPLE,"BROWNSVILLE, TX",748,91437
SOCIAL SECURITY ADMINISTRATION,"MISSOULA, MT","7,915",87641
SOCIAL SECURITY ADMINISTRATION,"NACOGDOCHES, TX","1,717",86414
NATURAL RESOURCES CONSERVATION SERVICE,"FAIRBANKS, AK","4,446",84054
"CORPS OF ENGINEERS, CIVIL","WILMINGTON, NC","4,349",83934
NATURAL RESOURCES CONSERVATION SERVICE,"AMHERST, MA","22,428",80687
FAS- OFFICE SPAC,"FAIRBORN, OH, FAS","2,983",80292
MULTIPLE,"FOLSOM, CA","1,330",78417
MULTIPLE,"MIDDLEBURG HEIGHTS, OH","1,000",76495
NATIONAL LABOR RELATIONS BOARD,"OVERLAND PARK, KS","11,057",75239
NATURAL RESOURCES CONSERVATION SERVICE,"OXNARD, CA","1,209",75189
DEPARTMENTAL MANAGEMENT (IG),"RALEIGH, NC","2,324",74850
NATURAL RESOURCES CONSERVATION SERVICE,"LAWRENCE, KS","4,846",70064
MULTIPLE,"HOUSTON, TX",555,67734
DRUG ENFORCEMENT ADMINISTRATION,"NORTH ANDOVER CENTER, MA","5,300",67470
SOCIAL SECURITY ADMINISTRATION,"GADSDEN, AL","1,450",67410
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"SUTTON, MA","1,273",67109
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BRATTLEBORO, VT","1,391",65294
SOCIAL SECURITY ADMINISTRATION,"KALISPELL, MT","7,699",63083
NATURAL RESOURCES CONSERVATION SERVICE,"LINCOLN, NE","10,471",62816
MULTIPLE,"AUBURN, CA","1,228",62051
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"GLADSTONE, MO","1,378",61966
SOCIAL SECURITY ADMINISTRATION,"ROCKFORD, IL","1,743",61280
BUREAU OF INDIAN AFFAIRS,"WATONGA, OK","2,850",61074
UNITED STATES FISH AND WILDLIFE SERVICE,"BROKEN BOW, OK","2,325",58673
INDIAN HEALTH SERVICE-CALIFORNIA,"ARCATA, CA","1,492",58602
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"UVALDE, TX",920,58538
SOCIAL SECURITY ADMINISTRATION,"LAWTON, OK","9,298",55805
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","FAYETTEVILLE, AR",440,55480
SOCIAL SECURITY ADMINISTRATION,"LOGAN, WV","7,852",45650
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","STATE COLLEGE, PA",443,45491
FARM SERVICE AGENCY - COUNTY,"BATESVILLE, AR","2,891",43365
RAILROAD RETIREMENT BOARD,"MESA, AZ","1,946",43136
IG FOR TAX ADMINISTRATION,"BATON ROUGE, LA",891,40826
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"OKLAHOMA CITY, OK","1,609",40225
NATIONAL ARCHIVES CENTERS,"FAIRFIELD, OH","124,569",39851
SOCIAL SECURITY ADMINISTRATION,"ABILENE, TX","1,342",39391
SMALL BUSINESS ADMINISTRATION,"CHICO, CA",315,37800
SOCIAL SECURITY ADMINISTRATION,"TEXARKANA, AR","1,436",36328
AGRICULTURAL MARKETING SERVICE,"LOS ANGELES, CA","1,527",33403
MULTIPLE,"RIVERDALE PARK, MD","5,598",32559
SOCIAL SECURITY ADMINISTRATION,"FORREST CITY, AR","12,774",32321
BUREAU OF PRISONS,"CINCINNATI, OH","3,068",30295
SOCIAL SECURITY ADMINISTRATION,"COLUMBUS, GA","1,632",25512
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SEWARD, AK",922,24554
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"AUSTIN, TX",0,23240
"FAS, REG 01 FLEET MANAGEMENT FACILITIES","HARTFORD, CT",0,23100
"EMPLOY. AND TRAIN. ADMIN., BUR. OF APPRENTICESHIP AND T","DAVENPORT, IA",351,20376
BUREAU OF MINERALS MANAGEMENT SERVICE,"NEW ORLEANS, LA",970,20370
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"SIOUX CITY, IA","5,254",17364
SOCIAL SECURITY ADMINISTRATION,"LAS VEGAS, NV","1,895",16352
UNITED STATES MARSHALS SERVICE,"OXFORD, MS",600,16149
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","HARLINGEN, TX",612,15310
SMALL BUSINESS ADMINISTRATION,"LEXINGTON-FAYETTE, KY","1,200",15143
SMALL BUSINESS ADMINISTRATION,"GREENSBORO, NC",648,14571
DRUG ENFORCEMENT ADMINISTRATION,"YAKIMA, WA",330,12900
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","LONGVIEW, TX",320,11052
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"IDAHO FALLS, ID","2,925",8790
DEPARTMENT OF STATE,"MIAMI, FL","3,076",7383
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SEFFNER, FL","1,525",7285
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"JACKSONVILLE, FL","1,155",6904
VETERANS BENEFITS ADMINISTRATION,"LAS CRUCES, NM","1,120",6777
SMALL BUSINESS ADMINISTRATION,"SHOW LOW, AZ",460,6424
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"MERRILL, WI",393,6067
BUREAU OF INDIAN AFFAIRS,"CARNEGIE, OK",0,6063
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"HAMPTON, VA",911,5963
DHS UNITED STATES SECRET SERVICE,"NEW YORK, NY",250,4142
NATURAL RESOURCES CONSERVATION SERVICE,"DAYTON, WA","4,320",3445
SOCIAL SECURITY ADMINISTRATION,"HAZARD, KY","1,652",3169
"FAS, REG 08 FLEET MANAGEMENT FACILITIES","BISMARCK, ND",0,2520
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"JUNEAU, AK","1,595",1710
FOOD AND DRUG ADMINISTRATION,"ATLANTA, GA","17,000",0
GEOLOGICAL SURVEY,"EL PASO, TX","3,409",0
FEDERAL TRADE COMMISSION,"WASHINGTON, DC","259,130",0
MULTIPLE,"RENSSELAER, NY",115,0
FARM SERVICE AGENCY- STATE,"FARGO, ND","14,800",0
SMALL BUSINESS ADMINISTRATION,"MELBOURNE, FL",570,0
SOCIAL SECURITY ADMINISTRATION,"JASPER, AL","8,919",0
GEOLOGICAL SURVEY,"BOULDER, CO","3,830",0
NATURAL RESOURCES CONSERVATION SERVICE,"PEARL, MS","7,161",0
SOCIAL SECURITY ADMINISTRATION,"POUGHKEEPSIE, NY","14,000",0
"BUR OF ALCOHOL,TOBACCO,FIREARMS & EXPLOSIVES","RALEIGH, NC","5,287",0
